,title,subtitle,link
0,TOP RUN,Tom Cruise dumped by Hayley Atwell as she moves on with vegetarian pagan,https://www.thesun.co.uk/tvandshowbiz/19065556/tom-cruise-pagan-hayley-atwell/
1,WE'RE OVER,Rachel Stevens announces shock split from husband of 12 years Alex Bourne,https://www.thesun.co.uk/tv/19066084/rachel-stevens-alex-bourne-marriage-split/
2,BEEB SWITCH,Scott Mills quits Radio 1 and takes over from Steve Wright in radio shake-up,https://www.thesun.co.uk/tv/19065725/scott-mills-steve-wright-radio-1-2/
3,SAND BANK,Popular holiday hotspot to CHARGE tourists to sunbathe on the beaches,https://www.thesun.co.uk/travel/19059622/beach-sunbathe-cost-tourists-italy/
4,SAFE AS HOUSES,Major change after lenders offer mortgages which can be passed onto kids,https://www.thesun.co.uk/news/19066956/major-change-mortgages-homeowners-pass-to-kids/
5,LURID CLAIMS,"I woke up in Chris Pincher's flat with him on top of me, 'victim' claims",https://www.thesun.co.uk/news/19066510/woke-chris-pinchers-flat-find-him-on-top/
6,THE SUN SAYS,PM should have IMMEDIATELY kicked Pincher off Tory benches for 'groping' shame,https://www.thesun.co.uk/news/19066822/boris-johnson-chris-pincher-groping-scandal/
7,SPORTS SALE,JD Sports launch summer sale with up to 50% off,https://www.thesun.co.uk/fabulous/18942677/jd-sports-summer-sale-half-price-deals/
8,DEAR DEIDRE,Sparks flew when I met my girlfriend - but is she my sister?,https://www.thesun.co.uk/dear-deidre/19058222/sparks-flew-girlfriend-my-sister/
9,SUPER SIXTY,F1 - British Grand Prix: Get Lewis Hamilton at 60/1 to finish on the podium,https://www.thesun.co.uk/sport/betting-tips/19047828/f1-british-grand-prix-lewis-hamilton-betting-odds-free-bets/
10,LOVE HOUSE,Love Island recap - Casa Amor drama as new boys arrive & Charlie & Antongini go,https://www.thesun.co.uk/tv/18798267/love-island-2022-live-cast-latest-gemma-owen/
11,TRAVEL HELL,Live flight cancellations as Brits face utter carnage at Heathrow,https://www.thesun.co.uk/travel/19045154/flights-cancelled-delays-news-ryanair/
12,WIMBLEDON 2022,"Brit Cam Norrie THRASHES Johnson, Djokovic WINS, Watson into round 4",https://www.thesun.co.uk/sport/19007120/wimbledon-live-results-tv-cam-norrie-djokovic-watson-stream-free/
13,VAT WAR,No10 at loggerheads with Rishi Sunak over plans to slash VAT on food prices,https://www.thesun.co.uk/news/19066752/rishi-sunak-vat-food-prices/
14,DATE RAPE HELL,Rapist who targeted married straight men in club may have 100s more victims,https://www.thesun.co.uk/news/19067576/rapist-targeted-married-straight-men-club-more-victims/
15,C U AGAIN,I'm A Celebrity All Star bosses in talks with controversial former contestant,https://www.thesun.co.uk/tv/19064535/im-a-celebrity-former-contestant-c/
16,STREETS OF RAGE,MMA fighter takes on two men in mass brawl while cheered on by glam boxer,https://www.thesun.co.uk/news/19064178/mass-brawl-mma-fighter-takes-on-two-men/
17,BOMBSHELL CLAIMS,Love Island star accuses ex of ‘inappropriate touching’ - but he denies it,https://www.thesun.co.uk/tvandshowbiz/19061752/love-island-hugo-hammond-inappropriate-touching-allegation-sharon-gaffka/
18,GLITCH IN THE MATRIX,Man uncovers 'secret lair' UNDER train station in jaw-dropping find,https://www.thesun.co.uk/news/19063667/man-uncovers-secret-lair-tiktok-sheffield/
19,POWER HOURS,You won't believe how much these celebs make for just 60 minutes' work,https://www.thesun.co.uk/tvandshowbiz/19065553/celebs-make-60-minutes-work/
20,VIRUS SURGE,UK Covid cases soar by a third in a week with one in 30 Brits infected,https://www.thesun.co.uk/health/19067089/uk-covid-cases-soar-by-third-in-week/
21,SO LUCKY,I was on Neighbours when it started & there was one star who outshone everyone,https://www.thesun.co.uk/tv/19066292/harold-bishop-kylie-minogue-neighbours-ends/
22,ULRIKA JONSSON,Why does Victoria Beckham deny herself delicious food to stay stick-thin?,https://www.thesun.co.uk/news/19065369/victoria-beckham-ulrika-jonsson-food/
23,HELL FACTORY,Inside China's secret slaughterhouse where stolen pets are blowtorched as meat,https://www.thesun.co.uk/news/19056514/yulin-dog-meat-festival-animal-cruelty-china/
24,SICK & TWISTED,Evil killer Oscar Pistorius met Reeva's dad in jail in desperate freedom bid,https://www.thesun.co.uk/news/19067279/oscar-pistorius-met-dad-reena-steenkamp/
25,SEX PEST SCANDAL,Why did it take Boris Johnson so long to ditch drunken Chris Pincher?,https://www.thesun.co.uk/news/19066063/boris-johnson-boots-chris-pincher-tory-party-drunken-groping/
26,ISABEL HARDMAN,Sleaze scandals are a problem that all parties have to tackle,https://www.thesun.co.uk/news/19066729/sleaze-revelations-problem-all-parties-to-tackle/
27,'CHEER UP',"Labour MPs should drink champagne so they become more fun, says Jacob Rees-Mogg",https://www.thesun.co.uk/news/19067079/labour-champagne-jacob-rees-mogg/
28,NOT HAPPY,Putin hits back at 'disgusting' G7 leaders after despot MOCKED for shirtless pics,https://www.thesun.co.uk/news/19037283/ukraine-news-russia-war-latest-putin-bernie-ecclestone/
29,NEW BALLS PLEASE,Watch Warner go down in pain after being hit in balls with flying BAIL,https://www.thesun.co.uk/sport/19061716/david-warner-australia-cricket-hit-in-balls/
30,MIGHTY RE-LEAF,Harvester makes major U-turn after threatening to scrap fan favourite,https://www.thesun.co.uk/money/19064851/harvester-u-turn-salad-bar/
31,BARE IT,Study reveals the exact temperature that makes Brits wear shorts and T-shirts,https://www.thesun.co.uk/news/19066342/exact-temperature-brits-shorts/
32,SHOW & TELL,I'm on Babestation - here's what it's like to strip on TV & the weird requests,https://www.thesun.co.uk/news/19058894/babestation-model-strip-on-tv/
33,OKEY-COKEY,Kate Moss stuns fans with bizarre new career move,https://www.thesun.co.uk/tvandshowbiz/19066047/kate-moss-bizarre-career-move/
34,HORROR BLAZE,"Woman, 79, killed & two men, in serious condition after house fire breaks out",https://www.thesun.co.uk/news/19065038/woman-dies-men-hurt-house-fire-scotland/
35,'BLOOD WAS DRAWN',"Waitress, 20, slammed for BITING cop while drunk after birthday bash",https://www.thesun.co.uk/news/19066357/ludicrously-drunk-waitress-bits-cop-at-birthday-party/
36,BANK PROTEST,Fury as Halifax bosses urge staff to display pronouns on name badges,https://www.thesun.co.uk/news/19067064/halifax-customers-quit-gender-pronoun-row/
37,DOUGLAS MURRAY,Halifax's pronoun policy is woke madness and people should quit the bank,https://www.thesun.co.uk/uncategorized/19066525/douglas-murray-halifax-pronoun-madness/
38,FINAL FAREWELL,Updates on Minecraft YouTube star who died at 23 as sarcoma battle revealed,https://www.thesun.co.uk/tech/19056978/youtuber-technoblade-death-sarcoma-cancer-live-updates/
39,ROYAL TRUCE,Queen 'drawing a line' under Meghan & Harry drama as report to remain SECRET,https://www.thesun.co.uk/fabulous/19033920/meghan-markle-news-prince-harry-latest-queen-bullying/
40,WASHOUT,Brits told to prepare for stormy weekend before 30C Azores heatwave hits nation,https://www.thesun.co.uk/news/19051154/uk-weather-forecast-latest-met-office-warnings-heatwave/
